$ binwalk tt3720.ah-3_09-0001-tt3720.bin

DECIMAL       HEXADECIMAL     DESCRIPTION
8503084       0x81BF2C        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/conx_wlan/src/sm_drv_pci.h
8504144       0x81C350        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/conx_wlan/src/cmd_at_wlanxxx.cpp
8506112       0x81CB00        AES S-Box
8506368       0x81CC00        AES Inverse S-Box
8534760       0x823AE8        CRC32 polynomial table, little endian
8539528       0x824D88        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/core_hpa_ctrl/src/core_hpa_ctrl.cpp
8542808       0x825A58        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/cs/isdn_ta/src/isdn_ta_main.cpp
8548800       0x8271C0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/cs/isdn_ta/src/isdn_ta_statemachine.cpp
8556028       0x828DFC        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/cs/slic/src/slic_main.cpp
8560460       0x829F4C        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/cs/slic/src/slic_driver.cpp
8565968       0x82B4D0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/cs/slic_si3220/src/slic_prodriver.cpp
8566984       0x82B8C8        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/cs/virt/src/virt_main.cpp
8570940       0x82C83C        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/cs/virt/src/cmd_cs_virt.cpp
8618236       0x8380FC        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/dspif/src/SatDSP.cpp
8619440       0x8385B0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/dspif/src/dspif_uncommon_unreal_helping_noone.cpp
8620316       0x83891C        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/dspif/src/dspif_calibration.cpp
8622920       0x839348        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/dspif/src/dspif_config.cpp
8624220       0x83985C        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/dspif/src/dspif_bpt_lan.cpp
8625840       0x839EB0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/dspif/src/vdd_ifcommon.cpp
8627972       0x83A704        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/dspif/src/dsploader.cpp
8630284       0x83B00C        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/dspif/src/tsi_if.cpp
8631144       0x83B368        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/dspif/src/dspif_real_common.cpp
8635236       0x83C364        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/tt3720/build/monroe.linux-gnu-gcc.mips/include/drivers/bgan_ut/dspif/hbi_if.h
8635608       0x83C4D8        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/dspif/src/dspif_real_sat.cpp
8643332       0x83E304        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/tt3720/build/monroe.linux-gnu-gcc.mips/include/drivers/bgan_ut/dspif/hbi_if.h
8643996       0x83E59C        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/dspif/src/dspif_real_queue.cpp
8645948       0x83ED3C        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/dspif/src/dom_dsps.cpp
8648288       0x83F660        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/gpio/src/gpio_common.cpp
